label,tweet,sentiment
happy,kepingin gudeg mbarek bu hj amad foto google sengaja biar teman teman membayangkannya berbagi indah,pos
happy,sharing pengalaman kemarin jam batalin tiket stasiun pasar senen lancar antrian [not] terlalu rame menitan beress semua mungkin dicoba twips jam jam segitu cc [username],pos
happy,sharing sama teman tuh memang banget disaat lu merasa masalah lu berat banget ternyata teman sendiri punya masalah lebih berat malah masalah kita enggak apa-apanya dibanding masalah,pos
sadness,orang kalau pakai ponco buat jas hujan nah pakai buat kasur ya tadi gara-gara saking enggak punya apa-apa mamak bilang tuh awal pernikan enggak ngalamin bulan madu kayak skrg2 org tidur nya pakai ponco gimane mau bulan madu,neg
sadness,pulang h lebaran dilema sekali seperti [not] melakukan apa-apa dirumah lebaran buka puasa bareng cuman hari sama keluarga juga sahur,neg
happy,sangat bersyukur mendoakan kakeknya bung karno bersama anak anak yatim piatu [hashtag] [hashtag] [hashtag] [hashtag] [hashtag] [hashtag] [username] h,pos
sadness,sulit menerima kenyataan memang ada sebagian menganggap berinteraksi satu orang satu golongan tertentu langsung mengatakan golongan tertentu sesaat [not] mempelajari utuh mengklaim diri kita paling benar,neg
love,setiap kesempatan pernah hadir dapat membuatmu selalu merasa aman nyaman kini jadi suatu kehormatan pernah didapat,pos
happy,h mau bank rame banget antrian tempat duduknya diluar toko emas meluber enggak kelihatan mbak2nya jualan ke swalayan antrian kasir naudzubilah panjang benar pada bahagia semua kayaknya semoga semoga rs sepi pasien sembuh pulang berbahagia,pos
sadness,separuh hati iri melihat seorang anak masih duduk berjalan bersama ibundanya separuh hati turut berempati melihat seorang anak begitu gundah ibundanya sakit yang sabar kawan semoga allah memberikan terbaik kita semua,neg
happy,ketika aku tersenyum [not] berarti hidupku sempurna aku mensyukuri apa aku punya apa telah tuhan berikan ku,pos
sadness,mau tidur tidur bgn tidur kok kayak merasa aneh enggak enak hati dibawa istighfar saja bgn tidur kayak sedih kayak mikir enggak puguh kenapa banget coba,neg
love,kan kupeluk engkau erat2 hingga [not] seorang yang merebut mu pelukan ku happy anniversary sayang [hashtag] [hashtag],pos
happy,sukses n keren banget no kualitas bahan krja cita-cita punya warisan ke cu2 sukses tims bbpjn6 barokah terlimpahkan,pos
fear,hari jadwal presentasi proker lppm praktikum jadinya pak ketua temani sekretaris tapi selaku penanggung jawab ada di sekretaris jadi deg deg an bismillah pak ketua btw pengin upload foto pak ketua [not] dulu,neg
fear,drama kemarin sore seharian puasa terus pas mandi kaget bcz kedatangan tamu [not] diundang pas banget woi pas adzan maghrib terus jadi galau dong seharian dianggap sah puasa apa enggak,neg
sadness,sungguh mencintaimu berat sekali berpisah denganmu [hashtag] [username] selalu bikin bawa perasaan sukses melupakan laper [url],neg
happy,pada akhirnya akan melewati semua semua dulu bayangkan betapa sulitnya kita lalui di akhir hanya belajar belajar belajar memetik semua hikmah bisa petik mempersiapkan kedepan,pos
love,kenapa pasangan seringkali diibaratkan rumah karena rasa nyaman bersamanya senyaman berada rumah kamu jadi apa kamu selalu pulang menujunya,pos
fear,ya tau kalo rasa sakit hati memamg sulit ada kala nya jenjang rumah tangga [not] lah di publikan situasi ini media jahat enggak menyelesaikan masalah terlontarnya kata kata,neg
happy,ponakan kls sd demen menonton video tutorial masak craft youtube gue kls sd baca novel2 marga t amp mira w minjem punya sepupu,pos
happy,bberapa tahun kemudian kesejahteraan keluarga makmak teus meningkat sampailah suaminya dpet pangkat tinggi kurang paham tentang pangkat2an tni pokonya hidup bekecukupan,pos
sadness,bukan [not] mendukung mendoakan cuma menyikapi apa sudah2 pilihanmu berupayalah mempertahankannya disini aku jauh bahagia melihatmu sedih kebahagianku pudar saat kala menerima undangan pernikahanmu,neg
happy,jne jnt selama pakai entah kirim paket beli olshop jastip luar kota beda pulau maksimal hari mau dia pakai mobil susah cari alamat bingung enggak masuk kompleks gang meski malam sekalipun dibelain jalan rumah paketan terkirim baik,pos
fear,apa hukumnya bermain musik stad jelas haroooom hukumnya berdosa memainkannya begitulah kira kira percakapan terjadi penanya seorang ustad disebuah acara tv intronya pakai musik,neg
sadness,oh iya ibu nya melahirkan anak yaitu cewek enggak tahu tahun berapa2 nya lanjut tadi baru setahun kasih kenikmatan datang ujian buat sih makmak kali mungkin berat dia tinggal suaminya meninggal seketika ibu jadi singel parent,neg
happy,z suka twitter soalny perempuan ji semua temanku disini biar mengomel tablengker ndada bahayanya bahas monsteration bebas bahas indak puasa bebas di wa mau update status streskan monsteration harus dulu blok semua cowok baru mengupdate,pos
love,ku rindu bisik mu telingaku seraya kau berkata semoga kelak kau menjadi anak berguna banyak orang semoga kau selalu menyayangi orang tua mu,pos
fear,nah yg takutkan mas nanti tumpangi politik dibalut agama itu bahaya soale masyarakat sedang sensitif hal tersebut,neg
sadness,mau cerita kesiapa kalau kayak begini hancur hidup pikirin dong bagaimana hati ku aku sedih aku menangis menetes air mata kayaknya lirik lagu sayang pia palen deh wkwkw,neg
sadness,setelah 20hari puasa saur enggak pernah kesiangan akhirnya hari ke21 merasai makan saur supeerrr dupeerr ekspress 1menit imsak baru bangun yassalaaam,neg
fear,jdi thr dari apbd yang punya kuasa takut kalau kalau garis bawahi sama kpk dan jadilah ggl thr tahun kok begitu buk mentri bilang aman yang ketakutan,neg
sadness,merasa oon tahu [not] di bicarakan orang nah kelalaian malah sebaliknya jadi malah merubah siklus dan alur waktu seharusnya terjadi,neg
happy,kalau tau libur panjang lebaran tuh rasanya pengin cepat gendong cerrier pakai sepatu terus pergi ketemu alam berdamai dengannya,pos
happy,btw doa restu orang tua memang gilingan pas mentok mencari literatur tambahan nemu dong rumah padahal kemarin panik kudu mesen banyumas ini berkah ramadan [url],pos
fear,dri pagi merasai sakit perut mengira mau haid beli kiranti pas cek malah kagak plis atulah haid sekarang biar ikut solat ied,neg
sadness,turut berduka cita buat kawan a cak semoga keluarga tinggalkan a bisa di beri kesabaran amp meridoi kepergian almarhum [hashtag] [hashtag],neg
sadness,salah satu efek merapi sama bom orang mau bikin event negara takut jogja indonesia jadi aku event internasional beberapa negara [not] konfirmasi takut sama merapi sama teror moga merapi lekas reda [pos] moga enggak ada bom,neg
